# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-189.351,0.158057,0.0668419,5,31,0,203.267,-0.144283,-2.87535,-0.401234,-0.967352,-0.2656,-0.651305,0.206848,-1.32275,-0.124698,0.840698,3.59064,-0.318136,1.61058,0.606523,-0.73237,-0.465629,0.686797,-1.24917,1.00389,0.0854943,0.359457,0.35775,2.39555,-1.44069,-3.47341,-0.953674,-2.3386,0.742718,-4.7495,-0.447746,3.01864,-0.0271988,0.137695,0.0518543,-0.0626134,-0.0398086,0.0587172,-0.106797,0.0858266,-0.144283
-191.7,0.998495,0.012185,8,511,0,200.015,-0.141704,-3.97373,-0.808703,-0.538044,-0.502433,-0.616864,0.896534,-1.41599,0.616179,1.31825,4.99539,-0.983919,1.02638,0.852662,0.690738,-0.567266,1.03056,-1.05513,1.48273,0.0566904,0.341948,0.349512,2.34914,-4.03979,-2.68774,-2.50985,-3.08147,4.47853,-7.07342,3.07805,6.58516,-0.0557787,0.0581858,0.0483378,0.0391582,-0.0321585,0.0584231,-0.0598157,0.0840565,-0.141704
-184.469,0.75352,0.0219739,7,127,0,204.524,-0.184963,-5.41102,0.156042,-0.509951,-0.747465,-0.316235,0.861277,-1.51385,-0.66398,0.978452,2.98177,-0.308787,0.923176,1.92642,-1.29924,1.54092,1.33423,0.327721,1.55646,0.0930319,0.234517,0.381163,2.78063,0.465281,-1.52056,-2.22877,-0.942941,2.56813,-4.51395,-1.97984,2.91752,-0.028727,0.0858848,0.179218,-0.120871,0.143355,0.124126,0.0304885,0.1448,-0.184963
-186.216,0.840215,0.0203955,8,319,0,200.14,-0.17832,-7.68054,0.210278,-1.74232,-1.1671,-1.21649,0.940852,-0.910263,-0.338372,0.619359,2.51907,-0.227343,0.678398,0.672745,0.264452,-0.309132,1.52585,-0.355896,0.749661,0.125411,0.404203,0.409968,2.80388,0.529705,-4.38901,-2.94,-3.06442,2.37007,-2.29301,-0.852382,1.56021,-0.0285112,0.0850783,0.0843694,0.0331651,-0.0387685,0.191358,-0.0446331,0.0940155,-0.17832
-185.204,0.973989,0.0238468,6,127,0,195.559,0.00679078,-7.47635,0.921254,-1.05794,-0.921818,-0.8281,0.911984,-1.31567,-0.814306,0.474205,4.03517,-0.199038,1.04598,0.937307,-0.994853,0.885559,0.762551,1.13949,-0.0222692,0.0966405,0.111353,0.39817,2.52618,3.71742,-4.26896,-3.71969,-3.34152,3.68001,-5.30894,-3.28586,1.9135,-0.0192351,0.101084,0.0905818,-0.0961431,0.0855809,0.0736933,0.110121,-0.00215211,0.00679078
-183.442,0.194219,0.0395324,7,127,0,195.578,-0.165473,-7.53936,1.28181,-1.0133,-0.679679,-0.620012,0.591754,-0.838121,-0.524391,0.164405,4.22075,-0.257738,0.667022,0.647041,-1.15488,1.32475,0.75433,0.747509,0.0281874,0.085365,0.123193,0.307972,2.38822,5.41022,-4.27691,-2.86876,-2.61692,2.49765,-3.5375,-2.21333,0.693912,-0.0220018,0.0569404,0.0552347,-0.0985863,0.113087,0.0643934,0.0638111,0.00240621,-0.165473
-180.624,0.999644,0.00850223,9,1023,0,189.225,-0.114434,-8.82877,1.03563,-0.608691,-0.70462,-0.573557,0.0661663,-1.74109,-0.586326,0.223435,4.58573,-0.194039,0.547577,1.97138,-0.484509,1.04547,1.68314,-0.733831,0.158611,0.106229,0.283697,0.377479,3.47624,4.74911,-2.79129,-3.23119,-2.63018,0.303421,-7.98415,-2.68873,1.02461,-0.0206126,0.0581686,0.209419,-0.051469,0.11106,0.178799,-0.0779544,0.0168492,-0.114434
-178.682,0.968996,0.0150604,7,127,0,189.111,-0.131306,-9.8922,0.225192,-1.23916,-1.21764,-0.980061,0.810958,-1.04099,0.868039,0.660434,2.99901,-0.26815,0.511074,0.885668,-1.01813,0.439674,0.5239,1.20063,-0.509998,0.127644,0.229371,0.367054,3.02031,0.675354,-3.71624,-3.6517,-2.93921,2.43207,-3.12194,2.60326,1.98065,-0.0342277,0.0652355,0.11305,-0.129958,0.0561217,0.0668726,0.153254,-0.0650981,-0.131306
-179.243,0.990169,0.0244371,7,127,0,188.463,-0.105646,-10.0668,1.5964,-0.597963,-0.916896,-0.527544,0.437056,-2.04121,-0.147336,-0.224337,3.48924,-0.217461,0.578954,1.27452,-0.511478,0.50595,0.809891,0.829215,0.609619,0.179429,0.0593163,0.344785,2.42979,5.57023,-2.08644,-3.19927,-1.84073,1.52499,-7.12227,-0.514092,-0.782767,-0.0390188,0.103881,0.228686,-0.0917739,0.0907821,0.145318,0.148785,0.109383,-0.105646
-179.053,0.0309536,0.0415362,6,63,0,190.554,-0.070411,-9.92035,1.65011,-0.664582,-0.961012,-0.622657,0.409911,-2.05666,-0.292951,-0.280024,3.57459,-0.212366,0.513859,1.14235,-0.542038,0.403064,0.694408,0.950877,0.646247,0.17166,0.0525744,0.335296,2.39046,5.89846,-2.37561,-3.43522,-2.22574,1.46526,-7.35172,-1.04718,-1.00097,-0.0364548,0.088209,0.196096,-0.0930462,0.06919,0.119202,0.163228,0.110935,-0.070411
